Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
22,-5.38,29.69,2.31,104.2,191.5,11.38,1878,22.9,64.1,15,0,27.83,3.91,30.58,0.439,0.604,-1,0,5.8,-0.2,70.61,0
26,-3.53,22.2,2.31,104.2,191.5,14.26,1821,29.6,85.5,15,0,27.83,3.91,22.34,0.439,0.624,-1,0,14.9,-0.1,76.28,0
26,-2.08,18.08,3.11,104.2,191.5,17.87,1832,35,100.4,15,0,23.37,5.47,19.11,0.611,0.658,-1,0,23.6,0,78.02,0
29,-0.49,16.02,3.29,104.2,191.5,21.36,1882,37.4,104.4,15,0,21.84,5.47,16.32,0.611,0.715,-1,0,25.2,-0.1,80.32,0
30,-0.05,15.29,3.29,104.2,191.5,24.01,1918,39.9,109.2,15,0,21.9,5.47,14.99,0.671,0.739,-1,0,22.1,-0.1,79.57,0
32,0.6,14.41,3.5,104.2,191.5,36.47,1917,42.9,117.5,15,0,22.05,5.47,14.26,0.671,0.767,-1,0,21.1,-0.1,77.41,0
34,1.02,14.11,3.5,104.2,191.5,53.97,1926,43.9,119.7,15,0.2,20.38,5.47,14.11,0.684,0.799,-1,0,16.8,-1.1,77.19,0
36,1.32,14.26,3.8,104.2,191.5,61.2,1956,47.2,126.8,15,0.27,19.08,5.47,14.26,0.684,0.869,-1,0,13.5,-4.7,76.16,0
38,1.57,14.7,3.8,104.2,191.5,65.5,1995,50.2,132.3,2,0.47,18.07,5.47,14.55,0.734,0.903,-1,0.78,4.7,-9,76.68,0
40,1.93,14.99,4.25,104.2,191.7,69.53,2037,53.8,138.8,2,0.67,13.55,5.47,14.85,0.806,0.929,-1,2.34,0.9,-12.2,73.54,0
40,2.23,14.99,4.25,104.2,191.7,69.49,2065,55.9,142.2,2,0,13.11,5.47,14.85,0.806,0.949,-1,3.12,-0.1,-14.9,71.38,0
40,2.76,14.55,4.93,104.2,191.7,72.73,2081,57.9,146.2,2,0,12.91,5.47,14.55,0.904,0.958,-1,3.12,-0.1,-17.8,64.76,0
41,3.27,14.26,5.49,104.2,191.7,60.8,2124,60.1,148.8,2,0.2,13.25,5.47,14.26,0.904,0.965,-1,2.34,0,-18.7,51.18,0
41,3.69,14.11,5.49,104.2,191.7,34.95,2152,61.5,150,2,0,13.47,4.69,13.96,0.983,0.979,-1,2.34,0,-18.8,39.62,0
41,3.67,13.96,5.83,104.2,191.7,25.78,2195,62.2,148.8,2,0,14.23,4.69,13.96,0.983,0.999,-1,1.56,-0.1,-19.2,36.9,0
42,3.72,13.96,5.83,104.4,191.7,23.15,2216,63.5,150.5,2,0.2,14.96,4.69,13.96,1.013,1.04,-1,0.78,-0.1,-19.4,36.92,0
42,4.06,13.96,6.42,104.4,191.7,23.43,2260,67.8,157.5,2,0.4,14.97,4.69,13.96,1.013,1.078,-1,0.78,0,-19.5,38.4,0
45,4.79,14.11,6.42,104.4,191.7,24.61,2310,70.6,160.6,2,0.6,14.29,4.69,14.11,1.084,1.201,-1,0.78,-0.1,-19.5,42.83,0
50,5.46,13.96,7.12,104.4,191.7,26.24,2352,74,165.3,2,0.8,13.94,4.69,13.96,1.174,1.275,-1,0.78,-0.1,-19.8,54.46,0
55,6.88,13.82,7.12,104.4,191.7,45.62,2393,78.7,172.8,2,1,12.47,3.91,13.82,1.174,1.333,-1,-0.78,-0.1,-20.6,57.13,0
58,7.6,14.11,7.85,104.4,191.7,64.36,2435,82.5,177.9,2,1.2,11.05,3.91,13.82,1.241,1.395,-1,0,1,-24.9,58.51,0
61,8.52,14.11,7.85,104.4,191.7,80.37,2482,86.2,182.3,2,1.2,10.25,3.91,14.11,1.241,1.515,-1,0.78,4.4,-31.3,58.84,0
64,9.21,14.11,8.6,104.4,191.7,82.25,2534,88.3,183.1,2,1.4,8.69,3.91,14.11,1.323,1.645,-1,1.56,10.8,-34.6,60.89,0
68,10.32,14.11,9.65,104.4,191.7,82.24,2579,92.2,187.6,2,1.6,7.68,3.91,14.11,1.323,1.747,-1,1.56,14.6,-39.4,60.81,0
70,11.56,14.26,9.65,104.5,191.5,82.06,2662,96.5,190.4,2,1.6,7.12,3.91,14.26,1.426,1.777,-1,2.34,17.9,-42.9,59.82,0
70,12.94,14.26,11.12,104.5,191.5,82.12,2719,104.2,201.3,2,1.8,6.7,3.91,14.26,1.426,1.803,-1,3.12,21.3,-47.6,50.53,0
70,13.95,14.26,11.12,104.5,191.5,82.12,2775,111.6,211.2,2,0,0.89,3.91,14.26,1.585,1.851,-1,3.12,21.8,-48.7,48.54,0
70,15.14,14.11,13.75,104.5,191.5,57.99,2823,113.3,210.7,2,0,1.09,3.91,14.26,1.585,1.964,-1,3.91,21.6,-48.3,46.76,0
70,15.47,13.96,13.75,104.5,191.5,46.63,2903,114.2,206.7,2,0.2,1.38,3.91,13.96,1.873,2.044,-1,3.12,21.2,-47.9,48.83,0
70,16.32,13.38,14.85,104.5,191.5,66.18,2946,115.8,206.4,2,0.4,1.76,3.91,13.38,1.948,2.099,-1,3.12,20.5,-47.6,50.51,0
70,16.86,13.23,14.85,104.5,191.5,80.88,3041,119.2,205.9,2,0.4,2.48,3.91,13.23,1.948,2.114,-1,3.12,20,-47.2,51.89,0
70,17.08,12.94,15.68,104.9,191.5,82.25,3123,122.3,205.7,2,0.6,2.48,3.91,12.94,1.979,2.13,-1,3.91,19.2,-46.4,52.03,0
70,17.2,12.94,16.56,104.9,191.5,82.15,3224,126.5,206.1,2,0.8,3.73,3.91,12.64,1.979,2.146,-1,3.12,18.3,-45.7,52.97,0
72,17.35,12.79,16.56,104.9,191.5,82.07,3299,129.8,206.6,2,1,4.36,3.91,12.64,1.997,2.214,-1,3.91,17.6,-44.6,56.21,0
73,17.3,12.64,17.48,104.9,191.5,82.06,3376,133.2,207.1,2,1,4.9,3.91,12.49,1.997,2.331,-1,3.91,16.8,-44,58.18,0
76,17.34,12.49,17.48,104.9,191.5,82.06,3432,136.6,209,2,1.2,5.36,3.91,12.49,1.998,2.564,-1,3.91,16.1,-43.2,60.5,0
82,17.55,12.35,18.38,104.9,191.5,82.06,3531,141.7,210.7,2,1.4,6,3.91,12.35,1.998,3,-1,3.91,14.8,-42.2,59.93,0
92,17.9,12.2,18.38,104.9,191.3,82.06,3589,145.9,213.5,2,1.6,6.43,3.91,12.2,2.016,3,-1,3.12,14.2,-41.6,59.46,0
100,18.15,12.2,19.49,104.9,191.3,82.06,3689,151.1,215.1,2,1.8,6.78,3.91,12.2,2.049,2.998,-1,3.91,13.6,-40.6,59.86,0
100,18.48,12.35,19.49,104.9,191.3,82.05,3758,151.8,212.1,2,2,7.23,3.91,12.2,2.049,2.193,-1,3.12,15.2,-39.3,61.08,0
100,18.45,12.2,19.85,104.9,191.3,82.05,3855,155.9,212.4,2,2,7.89,3.91,12.2,2.016,2.138,-1,3.12,18.3,-37.8,59.12,0
100,18.46,12.2,19.85,104.9,191.3,82.05,3942,157.7,210.1,2,2.2,7.89,3.91,12.35,2.016,2.098,-1,3.12,19.2,-36.7,58.25,0
100,18.41,12.2,20.26,104.9,191.3,82.05,4020,160.1,209.2,2,2.4,8.35,3.91,12.35,1.974,2.065,-1,3.91,19,-36.2,57.83,0
100,18.3,12.2,20.99,104.9,191.3,82.04,4102,162.9,208.6,2,2.6,8.87,3.91,12.2,1.974,2.014,-1,3.91,18.5,-35.7,56.32,0
100,18.15,12.2,20.99,104.9,191.3,82.04,4158,165.1,208.5,2,2.6,9.13,3.91,12.35,1.956,1.982,-1,3.91,17.8,-35.1,54.82,0
