Accel. Pedal Pos. (%),Boost Pressure (psi),Actual AFR (AFR),Airflow Mass (lb/min),Charge Air Temp. (F),Coolant Temp. (F),ETC Angle Actual (degrees),Engine RPM (RPM),Est. Horsepower (hp),Estimated Torque (ft-lb),Gear Current (Gear),Ign Corr. Cyl1 (degrees),Ign Timing Cyl1 (degrees),LTFT (%),Lambda (Raw) (AFR),Load Actual (%),Load Des. TQ Ctl (%),Oct Adj Ratio Lrn (Mult),STFT (%),VCT-E Angle Act. (degrees),VCT-I Angle Act. (degrees),WGDC Actual (%),AP Info:[AP3-FOR-001 v1.7.3.0-17779][USDM 2016 Focus ST (50S)][Reflash: Stage3 93 OCT or 98 RON v504.ptm]
0,-10.38,38.07,1.94,106.2,191.8,7.55,4410,-0.5,-0.6,4,0,15.27,3.12,37.78,0.164,0.152,-1,0,-0.6,-0.6,0,0
0,-10.41,38.81,1.94,106.2,191.8,7.2,4398,-0.8,-1,4,0,15.41,3.12,38.51,0.162,0.145,-1,0,-0.7,-0.5,0,0
0,-10.48,39.69,1.79,106.2,191.8,6.96,4365,-1.1,-1.3,4,0,15.69,3.12,39.84,0.162,0.138,-1,0,-0.6,-0.6,0,0
0,-10.63,40.72,1.79,106.2,192,6.5,4352,-1.9,-2.3,4,0,16.27,2.34,41.01,0.151,0.133,-1,0,-0.7,-0.6,0,0
0,-10.75,41.6,1.64,106.2,192,6.24,4332,-2.8,-3.5,4,0,16.75,2.34,41.6,0.139,0.127,-1,0,-0.6,-0.4,0,0
0,-10.91,42.19,1.64,106.2,192,5.84,4310,-3.7,-4.6,4,0,17.47,2.34,42.34,0.139,0.122,-1,0,-0.5,-0.6,0,0
0,-10.99,42.34,1.5,106.2,192,5.65,4282,-4.2,-5.2,4,0,18.43,2.34,42.34,0.128,0.117,-1,0,-0.7,-0.4,0,0
0,-11.12,42.78,1.5,106.2,192,5.38,4265,-4.9,-6,4,0,18.34,2.34,42.63,0.128,0.113,-1,0,-0.6,-0.5,0,0
0,-11.18,42.63,1.38,106.2,192,5.15,4250,-5.5,-6.8,4,0,18.87,2.34,42.63,0.119,0.113,-1,0,-0.6,-0.5,0,0
0,-11.28,42.92,1.31,106.2,192,5.02,4237,-5.6,-7,4,0,19.26,2.34,42.92,0.119,0.112,-1,0,-0.6,-0.4,0,0
0,-11.27,42.78,1.31,106.2,192,5.15,4206,-5.6,-7,4,0,19.24,2.34,42.78,0.114,0.112,-1,0,-0.7,-0.4,5.11,0
0,-11.3,42.63,1.29,106.2,192,5.1,4183,-5.6,-7,4,0,19.14,2.34,42.78,0.114,0.113,-1,0,-0.6,-0.5,0,0
0,-11.27,43.07,1.29,106.2,192,5.1,4181,-5.5,-6.9,4,0,18.94,2.34,42.92,0.113,0.112,-1,0,-0.6,-0.5,11.94,0
0,-11.29,42.78,1.28,106.2,192,5.11,4149,-5.1,-6.5,4,0,18.9,2.34,42.78,0.113,0.111,-1,0,-0.6,-0.4,0,0
0,-11.22,42.63,1.28,106.2,192,5.04,4118,-5.4,-6.9,4,0,18.4,2.34,42.78,0.113,0.112,-1,0,-0.5,-0.5,17.37,0
0,-11.24,42.78,1.28,106.2,192,5.03,4121,-5.3,-6.7,4,0,18.72,2.34,43.07,0.114,0.112,-1,0,-0.6,-0.4,4.04,0
0,-11.25,43.22,1.28,106.2,192,4.97,4092,-5.4,-6.9,4,0,18.47,2.34,43.22,0.114,0.111,-1,0,-0.4,-0.4,0,0
0,-11.25,43.37,1.27,106.2,192,4.95,4055,-5.3,-6.9,4,0,18.28,2.34,43.07,0.114,0.111,-1,0,-0.6,-0.5,14.75,0
0,-11.28,43.07,1.22,106.2,192,4.89,4045,-5.4,-7,4,0,18.37,2.34,42.92,0.114,0.111,-1,0,-0.6,-0.5,0,0
0,-11.29,42.63,1.22,106.2,192,4.75,4034,-5.5,-7.2,4,0,18.59,2.34,42.63,0.111,0.111,-1,0,-0.6,-0.4,0,0
0,-11.3,42.48,1.18,106.2,192,4.75,4014,-5.7,-7.4,4,0,18.46,2.34,42.63,0.111,0.111,-1,0,-0.6,-0.4,12.96,0
0,-11.31,42.34,1.18,106.2,192,4.75,4008,-5.4,-7.1,4,0,18.39,2.34,42.63,0.108,0.111,-1,0,-0.7,-0.5,0,0
0,-11.28,42.19,1.17,106.2,192,4.75,3983,-5.5,-7.3,4,0,18.1,2.34,42.48,0.108,0.11,-1,0,-0.5,-0.5,0,0
0,-11.27,42.19,1.17,106.2,192,4.75,3953,-5.1,-6.7,4,0,17.85,2.34,42.48,0.108,0.11,-1,0,-0.6,-0.6,15.58,0
0,-11.28,42.48,1.2,106.2,192,4.79,3935,-4.7,-6.2,4,0,17.73,2.34,42.48,0.111,0.11,-1,0,-0.6,-0.5,0,0
0,-11.26,42.92,1.2,106.2,192,4.78,3924,-4.6,-6.1,4,0,17.42,2.34,42.48,0.111,0.111,-1,0,-0.6,-0.5,5.91,0
0,-11.27,43.07,1.2,106.2,192,4.77,3904,-4.4,-5.9,4,0,17.37,2.34,42.78,0.113,0.11,-1,0,-0.6,-0.5,0.07,0
0,-11.26,43.37,1.2,106.2,192,4.72,3890,-4.3,-5.8,4,0,17.26,2.34,43.07,0.113,0.11,-1,0,-0.6,-0.6,0,0
0,-11.26,43.07,1.2,106.2,192,4.71,3873,-4.3,-5.8,4,0,16.99,2.34,43.07,0.114,0.11,-1,0,-0.6,-0.4,14.24,0
0,-11.26,42.48,1.17,106.2,192,4.68,3854,-3.9,-5.3,4,0,16.92,2.34,42.78,0.114,0.11,-1,0,-0.6,-0.6,4.9,0
0,-11.29,42.92,1.17,106.2,192,4.58,3816,-3.9,-5.3,4,0,16.74,2.34,42.63,0.112,0.11,-1,0,-0.6,-0.4,0,0
0,-11.31,42.92,1.15,106.2,192,4.54,3799,-3.9,-5.4,4,0,16.57,2.34,43.07,0.112,0.109,-1,0,-0.6,-0.4,15.22,0
0,-11.34,42.63,1.15,106.2,192,4.51,3782,-3.8,-5.3,4,0,16.5,2.34,42.92,0.111,0.109,-1,0,-0.6,-0.4,0,0
0,-11.34,42.92,1.14,106.2,192,4.47,3763,-3.7,-5.2,4,0,16.48,2.34,42.78,0.111,0.109,-1,0,-0.6,-0.5,0,0
0,-11.34,42.63,1.14,106.2,192,4.46,3744,-3.6,-5,4,0,16.3,2.34,42.78,0.111,0.109,-1,0,-0.6,-0.4,13.91,0
0,-11.35,42.92,1.14,106,192,4.44,3716,-3.3,-4.7,4,0,16.05,2.34,42.92,0.112,0.109,-1,0,-0.5,-0.4,0,0
0,-11.35,42.63,1.14,106,192,4.41,3688,-3.1,-4.5,4,0,15.83,2.34,42.92,0.112,0.109,-1,0,-0.6,-0.3,3.36,0
0,-11.34,42.92,1.14,106.2,192,4.39,3655,-2.9,-4.1,15,0,52.67,2.34,42.78,0.113,0.132,-1,0,-0.5,-0.4,15.35,0
0,-11.35,42.78,1.2,106.2,192,4.91,3643,-2.2,-3.2,15,0,27.4,2.34,42.78,0.113,0.141,-1,0,-0.5,-0.4,0,0
0,-11.23,41.75,1.2,106.2,192,5.31,3615,-2.1,-3,15,0,19.82,2.34,41.31,0.121,0.154,-1,0,-0.6,-0.4,9.25,0
0,-11.19,37.63,1.32,106.2,192,5.72,3559,-0.2,-0.2,15,0,13.58,2.34,38.07,0.121,0.156,-1,0,-0.5,-0.4,3.93,0
4,-10.88,29.55,1.32,106,192,6.21,3531,0.6,0.9,15,0,21.56,2.34,29.55,0.135,0.38,-1,0,-0.6,-0.6,50.47,0
16,-10.75,25.58,2.3,106,192,7.42,3537,8,11.8,15,0,48.45,2.34,26.61,0.135,0.704,-1,0,-0.5,-0.3,62.87,0
30,-7.39,22.2,2.3,106.2,192,18.99,3603,54.5,79.5,15,0,31.35,3.91,23.37,0.239,0.768,-1,0,-0.5,-0.5,71.48,0
30,-2.47,19.99,6.28,106.2,192,29.16,3810,69.9,96.4,15,0,27.17,3.91,19.26,0.657,0.648,-1,0,-0.3,-0.4,85.76,0
24,-0.55,16.61,6.28,106.2,192,57.88,4001,73.5,96.4,15,0,-1.83,4.69,16.32,0.657,0.15,-1,-0.78,0.4,-0.6,78.34,0
2,-0.54,15.73,5.05,106,192,23.9,4030,53.8,70.1,15,0,-2.61,5.47,15.58,0.505,0.274,-1,-1.56,-0.5,-0.4,28.2,0
0,-5.1,16.32,5.05,106,192,8.77,4036,19.1,24.9,15,0,2.03,5.47,16.32,0.505,0.181,-1,0,-0.5,-1.9,0,0
0,-7.37,16.32,3.06,106,192,7.07,4037,3.6,4.7,15,0,6.91,5.47,16.46,0.282,0.167,-1,3.12,-0.6,-2,0,0
0,-9.46,16.17,1.82,106,192,5,4021,-0.2,-0.3,15,0,11.69,5.47,16.32,0.282,0.169,-1,6.25,-0.6,-0.6,0,0
0,-10.13,15.88,1.82,106,192,5.36,4008,0.1,0.1,15,0,13.39,2.34,16.02,0.167,0.169,-1,7.03,-0.6,-0.4,0,0
0,-10.3,14.99,1.76,106,192,6.45,3975,0.7,1,15,0,13.23,2.34,14.99,0.167,0.169,-1,0,-0.6,-0.5,0,0
0,-10.13,14.99,1.76,106,192,6.84,3902,1.3,1.8,15,0,12.02,2.34,14.85,0.163,0.168,-1,0,-0.7,-0.4,0,0
0,-9.97,19.55,1.88,106,192,6.97,3880,1.6,2.2,15,0,11.1,2.34,16.9,0.163,0.169,-1,0,-0.5,-0.6,0,0
0,-9.93,27.34,1.88,106.2,192,7.04,3892,1.9,2.5,15,0,10.9,3.12,22.93,0.176,0.169,-1,0,-0.6,-0.4,0,0
0,-9.92,34.1,1.86,106.2,192,7.07,3927,1.6,2.1,15,0,11.04,3.12,31.61,0.177,0.169,-1,0,-0.5,-0.5,0,0
0,-9.92,36.31,1.86,106.2,192,7.08,4032,1.5,2,15,0,11.45,3.12,36.6,0.177,0.172,-1,0,-0.6,-0.4,0,0
0,-9.93,39.25,1.86,106.2,192,7.36,4120,1.3,1.7,15,0,12.42,3.12,39.4,0.176,0.172,-1,0,-0.4,-0.5,0,0
0,-9.88,40.87,1.98,106.2,192,7.67,4070,1.4,1.8,15,0,11.76,3.12,40.72,0.176,0.171,-1,0,-0.7,-0.5,0,0
0,-9.85,41.6,1.98,106,191.8,7.67,4007,1.5,2,15,0,11.4,3.12,41.45,0.18,0.17,-1,0,-0.5,-0.6,0,0
0,-9.83,42.04,1.93,106,191.8,7.58,3937,1.5,2.1,15,0,11.15,3.12,41.75,0.18,0.169,-1,0,-0.6,-0.5,0,0
0,-9.9,42.63,1.93,106.2,191.8,7.34,3903,1.8,2.4,15,0,11.07,3.12,42.04,0.176,0.17,-1,0,-0.6,-0.4,0,0
0,-9.93,42.92,1.86,106.2,191.8,7.3,3920,1.6,2.1,15,0,11.09,3.12,42.63,0.176,0.169,-1,0,-0.6,-0.5,0,0
0,-9.97,43.37,1.86,106,191.8,7.24,3876,1.7,2.3,15,0,11.09,3.12,43.22,0.175,0.169,-1,0,-0.6,-0.4,0,0
0,-9.99,43.07,1.85,106,191.8,7.19,3815,1.8,2.5,15,0,10.79,3.12,43.22,0.175,0.181,-1,0,-0.6,-0.5,0,0
0,-10.06,43.07,1.85,106,191.8,6.95,3782,1.9,2.7,3,0,10.48,3.12,43.22,0.175,0.179,-1,0,-0.6,-0.4,0,0
0,-10.12,42.48,1.76,106,191.8,6.98,3763,1.7,2.4,3,0,10.59,2.34,42.92,0.17,0.177,-1,0,-0.5,-0.6,0,0
0,-10.21,40.28,1.76,106,191.8,7.3,3745,1.8,2.5,3,0,11.05,2.34,41.16,0.17,0.173,-1,0,-0.5,-0.4,0,0
0,-10.24,37.19,1.67,106,191.8,7.23,3680,1.9,2.8,3,0,10.58,2.34,35.87,0.164,0.167,-1,0,-0.6,-0.6,0,0
0,-10.26,29.11,1.62,106,191.8,7.15,3612,2.1,3,3,0,10.4,2.34,27.93,0.164,0.163,-1,0,-0.4,-0.4,0,0
0,-10.35,24.25,1.62,106,191.8,6.77,3555,2.1,3.1,3,0,10.2,2.34,24.25,0.161,0.16,-1,0,-0.6,-0.4,0,0
0,-10.44,21.46,1.5,106,191.8,6.55,3493,2.2,3.3,3,0,9.91,2.34,21.32,0.161,0.155,-1,0,-0.4,-0.4,0,0
0,-10.47,19.4,1.5,106,191.8,6.4,3437,2.1,3.2,3,0,9.71,2.34,19.84,0.154,0.152,-1,0,-0.6,-0.4,0,0
0,-10.57,18.52,1.41,106,191.7,6.06,3408,2,3,3,0,9.82,2.34,18.52,0.154,0.147,-1,0,-0.4,-0.4,0,0
0,-10.63,18.52,1.41,106,191.7,5.92,3363,1.9,2.9,3,0,9.9,2.34,18.38,0.15,0.14,-1,0,-0.6,-0.4,0,0
0,-10.67,18.67,1.34,106,191.7,5.88,3329,1.6,2.4,3,0,9.78,2.34,18.67,0.145,0.139,-1,0,-0.4,-0.4,0,0
0,-10.78,19.4,1.34,106,191.7,5.41,3286,0.9,1.4,3,0,9.7,2.34,19.55,0.145,0.137,-1,0,-0.4,-0.2,0,0
0,-10.91,20.14,1.23,106,191.7,5.27,3244,0.9,1.5,3,0,10.06,2.34,19.99,0.137,0.136,-1,0,-0.4,-0.4,0,0
0,-10.9,20.43,1.21,106,191.7,5.48,3195,0.9,1.5,3,0,9.9,2.34,20.58,0.137,0.136,-1,0,-0.4,-0.2,0,0
0,-10.85,20.43,1.21,106,191.7,5.39,3158,0.9,1.5,3,0,9.43,2.34,20.29,0.138,0.135,-1,0,-0.4,-0.4,0,0
0,-10.84,21.02,1.18,106,191.7,5.37,3094,0.9,1.5,3,0,9.28,2.34,21.17,0.138,0.134,-1,0,-0.4,-0.3,0,0
0,-10.83,22.93,1.18,106,191.7,5.29,3062,1,1.8,3,0,8.71,2.34,23.23,0.137,0.133,-1,0,-0.5,-0.2,0,0
0,-10.81,25.87,1.14,106,191.7,5.25,3005,0.8,1.5,3,0,8.39,2.34,25.58,0.137,0.131,-1,0,-0.4,-0.4,0,0
0,-10.86,28.52,1.14,105.6,191.5,4.99,2964,0.6,1,3,0,8.33,2.34,28.52,0.136,0.13,-1,0,-0.4,-0.2,0,0
0,-10.87,32.78,1.09,105.6,191.5,4.93,2916,0.5,0.9,3,0,8.72,2.34,31.61,0.134,0.13,-1,0,-0.4,-0.4,0,0
0,-10.84,35.13,1.09,105.6,191.5,4.88,2878,0.7,1.3,3,0,8.73,2.34,34.69,0.134,0.126,-1,0,-0.4,-0.2,0,0
0,-10.81,35.13,1.07,106,191.5,4.84,2818,0.6,1.1,3,0,8.75,2.34,34.99,0.136,0.119,-1,0,-0.5,-0.2,0,0
0,-10.84,35.28,1.07,106,191.5,4.34,2775,-0.1,-0.2,3,0,8.77,2.34,35.72,0.136,0.112,-1,0,-0.4,-0.2,0,0
0,-10.98,38.37,0.95,105.6,191.5,3.92,2731,-0.4,-0.8,3,0,9.78,2.34,38.22,0.125,0.107,-1,0,-0.3,-0.2,0,0
0,-11.08,38.81,0.86,105.6,191.5,3.77,2684,-0.8,-1.6,3,0,9.78,2.34,38.81,0.125,0.099,-1,0,-0.4,-0.2,0,0
0,-11.14,40.13,0.86,105.6,191.5,3.6,2631,-1.1,-2.3,3,0,10.3,2.34,40.42,0.116,0.096,-1,0,-0.2,-0.2,0,0
0,-11.21,41.31,0.79,105.6,191.5,3.41,2595,-1.7,-3.4,3,0,10.61,2.34,40.72,0.116,0.095,-1,0,-0.4,-0.1,0,0
0,-11.27,40.87,0.79,105.6,191.5,3.29,2545,-1.8,-3.8,3,0,11.41,2.34,41.01,0.11,0.096,-1,0,-0.4,-0.2,0,0
0,-11.31,41.31,0.74,105.6,191.3,3.27,2504,-2,-4.3,3,0,11.55,2.34,41.31,0.11,0.096,-1,0,-0.3,-0.2,0,0
0,-11.35,41.45,0.74,105.6,191.3,3.16,2449,-2.2,-4.7,3,0,11.66,2.34,41.6,0.107,0.095,-1,0,-0.3,-0.1,0,0
0,-11.36,41.75,0.7,105.6,191.3,3.08,2407,-2.2,-4.9,3,0,11.48,2.34,41.75,0.103,0.097,-1,0,-0.4,-0.2,0,0
0,-11.42,42.19,0.7,105.6,191.3,2.96,2377,-2.3,-5.1,3,0,11.53,2.34,41.89,0.103,0.097,-1,0,-0.2,-0.2,0,0
0,-11.42,42.34,0.65,105.6,191.3,2.96,2343,-2.3,-5.2,3,0,11.52,2.34,41.89,0.099,0.141,-1,0,-0.2,-0.1,0,0
0,-11.43,42.19,0.7,105.6,191.3,2.94,2287,-2.3,-5.2,15,0,30.8,2.34,42.34,0.099,0.16,-1,0,-0.4,-0.2,0,0
0,-11.28,42.19,0.7,105.6,191.3,4.46,2290,-0.5,-1.2,15,0,31.47,2.34,42.19,0.11,0.142,-1,0,-0.3,-0.2,0,0
0,-10.81,41.6,0.79,105.6,191.3,4.74,2295,-0.4,-0.9,15,0,23.45,2.34,41.89,0.11,0.14,-1,0,-0.2,-0.1,0,0
0,-10.83,39.54,0.79,105.6,191.3,3.99,2279,-0.5,-1.1,15,0,15.65,2.34,39.69,0.128,0.135,-1,0,-0.4,0,0,0
0,-10.92,32.34,0.74,105.6,191.3,3.86,2264,-0.5,-1.3,15,0,13.57,2.34,35.43,0.128,0.133,-1,0,-0.2,-0.2,1.26,0
0,-10.97,26.31,0.74,105.6,191.1,3.85,2242,-0.6,-1.3,15,0,11.73,2.34,28.22,0.12,0.129,-1,0,-0.1,-0.1,0,0
0,-10.95,23.67,0.73,105.6,191.1,3.83,2201,-0.6,-1.3,15,0,8.91,2.34,22.64,0.119,0.126,-1,0,-0.3,-0.1,5.83,0
0,-10.97,19.84,0.73,105.6,191.1,3.79,2162,-0.6,-1.5,15,0,8.68,2.34,19.11,0.119,0.123,-1,0,-0.4,-0.2,0,0
0,-11.01,17.93,0.7,105.6,191.1,3.71,2122,-0.6,-1.5,15,0,8.38,2.34,17.79,0.117,0.156,-1,0,-0.2,-0.2,0.31,0
8,-10.97,17.05,0.7,105.6,191.1,3.78,2105,-0.2,-0.4,15,0,34.5,2.34,16.9,0.117,0.467,-1,0,-0.2,-0.1,25.34,0
18,-10.65,16.61,0.89,105.6,191.1,7.63,2113,7.5,18.6,15,0,42.03,2.34,16.61,0.154,0.726,-1,0,-0.3,-0.1,66.25,0
32,-6.42,16.32,3.71,105.6,191.1,16.67,2175,33.1,79.9,15,0,33.41,2.34,16.32,0.154,0.882,-1,0,-0.2,-0.1,73.91,0
36,-2.06,16.02,3.71,105.6,190.9,28.09,2381,46.3,102.1,15,0,24.09,5.47,15.73,0.654,0.739,-1,0,-0.1,-0.1,88.66,0
30,-0.29,14.7,3.69,105.6,190.9,51.9,2602,52.8,106.5,15,0,0.72,5.47,14.55,0.654,0.195,-1,-0.78,0.3,-0.1,79.3,0
8,0.16,14.41,3.69,105.6,190.9,30.95,2680,46.1,90.4,15,0,-7.49,5.47,14.26,0.624,0.27,-1,-1.56,2.1,-0.2,21.2,0
0,-3.76,14.99,2.74,105.6,190.9,5.38,2681,25.3,49.6,15,0,-6.49,5.47,14.99,0.624,0.21,-1,-0.78,2,-0.8,0,0
0,-6.56,15.14,2.74,105.6,190.9,3.31,2683,9.5,18.7,15,0,-0.15,4.69,15.14,0.391,0.162,-1,0.78,-0.6,-3.6,0,0
0,-8.56,14.99,1.64,105.6,190.9,3.86,2671,4.7,9.3,15,0,3.61,2.34,14.99,0.225,0.144,-1,5.47,-0.3,-2.3,0,0
0,-9.35,14.99,1.64,105.6,190.9,3.41,2654,3,6,15,0,3.25,2.34,14.85,0.225,0.142,-1,6.25,-0.2,-0.5,0,0
0,-10.18,14.7,1.16,105.6,190.9,3.65,2635,2.2,4.5,15,0,5.88,2.34,14.7,0.16,0.141,-1,6.25,-0.3,-0.2,0,0
0,-10.46,14.55,1.02,105.6,190.9,4.26,2604,1.7,3.5,15,0,7.14,2.34,14.55,0.16,0.14,-1,6.25,-0.2,-0.2,0,0
0,-10.64,14.26,1.02,105.6,190.8,4.3,2558,1,2,15,0,7.86,2.34,14.26,0.143,0.137,-1,5.47,-0.2,-0.1,0,0
0,-10.73,14.11,0.93,105.6,190.8,4.23,2495,0.6,1.2,15,0,8.9,2.34,14.11,0.143,0.135,-1,5.47,-0.4,-0.1,0,0
0,-10.79,13.96,0.93,105.6,190.8,4.16,2439,0.3,0.6,15,0,8.95,2.34,14.11,0.133,0.13,-1,6.25,-0.2,-0.2,0,0
0,-10.83,13.96,0.85,105.6,190.8,4.12,2396,-0.1,-0.2,15,0,9.02,2.34,13.96,0.133,0.128,-1,7.03,-0.2,-0.1,0,0
0,-10.94,13.96,0.85,105.6,190.8,3.8,2399,-0.5,-1,15,0,9.36,2.34,13.96,0.126,0.129,-1,7.03,-0.3,-0.1,0,0
0,-11.01,13.96,0.77,105.6,190.8,3.79,2462,-0.7,-1.5,15,0,9.83,2.34,13.96,0.119,0.133,-1,0,-0.2,-0.2,0,0
0,-11,13.82,0.77,105.6,190.8,4.11,2463,-0.2,-0.4,15,0,10.19,2.34,13.82,0.119,0.134,-1,0,-0.2,-0.1,0,0
0,-10.86,14.7,0.85,105.6,190.6,4.23,2418,0.3,0.6,15,0,9.37,2.34,14.11,0.129,0.132,-1,0,-0.4,-0.2,0,0
0,-10.78,18.52,0.85,105.6,190.6,4.23,2390,0.4,1,15,0,8.71,2.34,16.32,0.129,0.13,-1,0,-0.3,-0.2,0,0
0,-10.75,20.73,0.88,105.6,190.6,4.23,2390,0.5,1,15,0,8.39,2.34,21.46,0.133,0.134,-1,0,-0.2,-0.1,0,0
3,-10.73,28.52,0.87,105.6,190.6,4.04,2400,0.4,0.9,15,0,40.88,2.34,29.4,0.133,0.287,-1,0,-0.4,-0.1,0,0
11,-10.63,33.37,0.87,105.6,190.6,6.02,2446,3.3,7.2,15,0,38.72,2.34,33.22,0.135,0.442,-1,0,-0.3,-0.2,0,0
20,-8.87,35.57,1.94,105.6,190.6,11.14,2479,12.6,26.7,15,0,34.86,2.34,35.72,0.135,0.554,-1,0,-0.2,-0.1,73.97,0
22,-6.11,31.46,1.94,105.6,190.6,15.49,2508,32.1,67.3,2,0,27.03,3.12,34.99,0.299,0.553,-1,0,-0.3,-0.1,72.78,0
22,-3.55,22.93,3.62,105.6,190.6,16.83,2469,37.6,80,2,0,25.54,3.12,25.58,0.299,0.548,-1,0,0.3,-0.2,75.53,0
22,-2.72,20.14,3.62,105.6,190.6,17.06,2423,38.7,83.9,2,0,25.39,5.47,19.4,0.541,0.545,-1,0,2.9,-0.1,72.72,0
22,-2.18,16.76,3.78,105.6,190.4,16.35,2446,39.4,84.6,2,0,9.9,5.47,16.32,0.567,0.544,-1,0,4.7,-0.1,73.13,0
22,-2.27,15.29,3.78,105.6,190.4,15.2,2472,39.2,83.4,2,0,9.71,5.47,15.14,0.567,0.542,-1,0,5.5,-0.3,69.34,0
22,-2.32,14.55,3.64,105.6,190.4,14.71,2480,38.8,82.2,2,0,26.22,5.47,14.41,0.554,0.543,-1,0,4.3,-1.1,66.67,0
22,-2.47,14.26,3.63,105.6,190.4,14.08,2507,38.7,81.1,2,0,24.62,5.47,14.26,0.554,0.546,-1,0,0.1,-2.8,66.23,0
22,-2.77,14.26,3.63,105.6,190.4,13.34,2516,38.7,80.8,2,0,25.76,5.47,14.26,0.545,0.552,-1,0,-0.4,-5.5,64.06,0
22,-2.9,14.11,3.71,105.6,190.4,13.23,2532,39,80.8,2,0,25.98,5.47,14.11,0.545,0.579,-1,0,-0.2,-6.8,65.08,0
24,-2.92,14.11,3.71,105.6,190.4,13.37,2554,40.5,83.2,2,0,26,5.47,14.11,0.548,0.64,-1,0,-0.3,-7,66.52,0
26,-2.65,13.96,3.99,105.6,190.4,14,2579,43.2,88,2,0,25.89,5.47,13.96,0.548,0.699,-1,-0.78,-0.2,-7.2,71.36,0
30,-1.69,13.96,3.99,105.6,190.4,16.52,2599,50.2,101.4,2,0,25.37,5.47,13.96,0.583,0.753,-1,0,-0.2,-7.8,74.55,0
32,-0.64,13.96,5.09,105.6,190.4,18.58,2645,58.6,116.3,2,0,24.71,5.47,13.96,0.731,0.779,-1,0,-0.4,-10.2,66.4,0
33,0.54,13.96,5.09,105.6,190.4,20.34,2669,62.9,123.8,2,0,23.16,5.47,13.96,0.731,0.846,-1,0,-0.2,-13.4,57.86,0
35,1.11,13.96,5.85,105.6,190.4,21.18,2680,66.8,130.9,2,0,19.02,4.69,13.96,0.824,0.886,-1,0,-0.2,-15.4,54.17,0
36,2.22,14.11,5.85,105.6,190.4,23.36,2700,70.4,137,2,0,18.16,4.69,14.11,0.824,0.945,-1,0,-0.4,-17.4,45.37,0
38,3.07,14.26,6.7,105.6,190.2,23.78,2743,72.7,139.3,2,0,18.16,4.69,14.26,0.926,0.998,-1,0,-0.2,-18.1,41.86,0
40,3.98,14.41,7.55,105.6,190.2,24.81,2785,77.1,145.4,2,0,17.07,4.69,14.41,0.926,1.04,-1,0,-0.3,-18.2,39.04,0
42,4.87,14.41,7.55,105.6,190.2,25.88,2832,81.7,151.5,2,0,16.72,3.91,14.41,1.031,1.059,-1,0,-0.4,-18.8,38.57,0
42,5.61,14.41,8.15,105.6,190.2,25.42,2872,84,153.6,2,0,16.52,3.91,14.41,1.031,1.085,-1,-0.78,-0.2,-19,33.32,0
43,5.86,14.55,8.15,105.6,190.2,24.02,2920,86.5,155.6,2,0,16.64,3.91,14.55,1.081,1.119,-1,-0.78,-0.4,-19,32.32,0
44,6.46,14.55,8.73,105.6,190.2,23.33,2954,89.4,158.9,2,0,16.25,3.91,14.7,1.081,1.142,-1,0,-0.4,-19.5,30.94,0
45,6.88,14.7,8.73,105.6,190.2,22.88,3022,93.2,162,2,0.2,16.23,3.91,14.7,1.122,1.163,-1,0,-0.3,-19.6,32.6,0
46,7.04,14.7,9.34,105.6,190,22.53,3075,96.1,164.1,2,0.4,15.88,3.91,14.7,1.175,1.186,-1,0.78,-0.4,-19.7,33.58,0
46,7.17,14.55,9.34,105.6,190,22.5,3125,99,166.5,2,0.4,15.32,3.91,14.55,1.175,1.199,-1,0.78,-0.3,-19.8,33.44,0
47,7.28,14.55,10.02,105.6,190,22.5,3138,101.1,169.2,2,0.6,14.73,3.91,14.55,1.214,1.212,-1,0.78,-0.4,-19.8,34.27,0
48,7.4,14.55,10.47,105.6,190,22.51,3152,102.3,170.5,2,0.8,14.93,3.91,14.55,1.214,1.232,-1,1.56,-0.3,-20.2,34.5,0
48,7.47,14.41,10.47,105.6,190,22.52,3201,104.2,171,2,0.8,14.71,3.91,14.41,1.237,1.243,-1,0.78,-0.3,-20.4,34.79,0
49,7.49,14.41,10.74,105.6,190,22.71,3226,105.5,171.9,2,1,14.42,3.91,14.26,1.237,1.255,-1,0.78,-0.4,-21.1,34.84,0
50,7.52,14.26,10.74,105.6,190,22.96,3289,108.4,173.2,2,1.2,14.52,3.91,14.26,1.257,1.288,-1,1.56,-0.3,-22.4,34.46,0
50,7.52,14.26,11.21,105.6,190,23.28,3350,111.5,174.8,2,1.4,14.61,3.91,14.11,1.257,1.302,-1,0.78,-0.6,-23.3,33.9,0
52,7.77,14.11,11.21,106,190,24.04,3361,113.4,177.2,2,1.4,14.1,3.91,14.11,1.287,1.314,-1,0.78,-0.3,-24.6,33.59,0
52,7.88,14.11,11.92,105.6,190,24.3,3358,113.9,178.2,2,1.6,13.74,3.91,14.11,1.321,1.35,-1,0.78,-0.4,-25.6,33.99,0
54,8,13.82,11.92,105.6,190,24.76,3411,117.5,180.9,2,1.8,13.6,3.91,13.96,1.321,1.427,-1,0.78,-0.4,-27.1,34.69,0
58,8.18,13.82,12.34,106,190,25.79,3492,122.2,183.9,2,2,12.27,3.91,13.82,1.363,1.517,-1,0.78,-0.4,-27.8,35.65,0
64,9,13.67,12.34,106,190,29.5,3535,128.5,190.9,2,2.2,8.7,3.91,13.67,1.363,1.67,-1,0,-0.4,-30.6,36.11,0
